;9:00-9:40;9:45-10:25;10:45-11:25;11:30-12:10;12:20-13:00;13:05-13:45;14:45-15:25;15:30-16:10;16:20-17:00;17:05-17:45
Понедельник;ИЭиЭМ (404с);ИЭиЭМ (404с);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Английский язык (Э1, 505с)/Английский язык (Э2, 507с);Английский язык (Э1, 505с)/Английский язык (Э2, 507с);История (404с);История (404с);История (404с);
Вторник;Английский язык (Э1, 505с)/Английский язык (Э2, 507с);Английский язык (Э1, 505с)/Английский язык (Э2, 507с);Литература (404с);Литература (404с);ТОК (404с);ТОК (404с);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 205c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 205c)/Математика угл. (Э4, 408c);Физика (408с)/Биология (404с)/Химия (409с);Физика (408с)/Биология (404с)/Химия (409с)
Среда;Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Английский язык (Э1, 505с)/Английский язык (Э2, 507с);Английский язык (Э1, 505с)/Английский язык (Э2, 507с);Физическая культура (Спортзал С);Физическая культура (Спортзал С);Экономика база (Э, 506с)/Экономика проф. (Э1, 405с)/Экономика проф. (Э2, 408с)/Экономика проф. (Э3, 508с)/Экономика проф. (Э4, 409с)/Экономика проф. (Э5, 402с)/Экономика проф. (Э6, 205с)/Экономика проф. (Э7, 403с)/Экономика база (Э2, 209с);Экономика база (Э, 506с)/Экономика проф. (Э1, 405с)/Экономика проф. (Э2, 408с)/Экономика проф. (Э3, 508с)/Экономика проф. (Э4, 409с)/Экономика проф. (Э5, 402с)/Экономика проф. (Э6, 205с)/Экономика проф. (Э7, 403с)/Экономика база (Э2, 209с);;
Четверг;Физическая культура (Спортзал Л);Физическая культура (Спортзал Л);;;;;;;;
Пятница;Русский язык (404с);Русский язык (404с);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Общество пол. (404с);Общество пол. (404с);Экономика проф. (Э1, 308с)/Экономика проф. (Э2, 403с)/Экономика проф. (Э3, 401с)/Экономика проф. (Э4, 307с)/Экономика проф. (Э5, 303с)/Экономика проф. (Э6, 302с)/Экономика проф. (Э7, 304с);Экономика проф. (Э1, 308с)/Экономика проф. (Э2, 403с)/Экономика проф. (Э3, 401с)/Экономика проф. (Э4, 307с)/Экономика проф. (Э5, 303с)/Экономика проф. (Э6, 302с)/Экономика проф. (Э7, 304с)
Суббота;Общество пол. (404с);Общество пол. (404с);Литература (404с);;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
